invariantSpecification,description,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,models_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
this.foo != null,Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_0,,Like program invariant specification,,,,,,,,
this.foo == orig(this.foo),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_1,,Like program invariant specification,,,,,,,,
this.foo != null,Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_2,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == false,Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_3,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_4,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_5,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_6,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_7,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_8,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_9,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_10,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_11,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_12,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_13,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_14,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_15,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_16,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_17,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_18,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_19,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_20,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_21,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_22,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_23,,Like program invariant specification,,,,,,,,
