classesCount,invariantCount,testsCount,description,generatedAtTime,identifier,invalidatedAtTime,title,likelyInvariants_identifier,producedBy_identifier,supportFiles_identifier,testDriver_identifier,verifies_identifier,definedIn_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_0,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_1,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_2,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_3,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_4,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_5,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_6,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_7,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_8,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_9,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_10,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_11,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_12,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_13,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_14,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_15,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_16,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_17,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_18,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_19,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_20,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_21,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_22,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_23,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_24,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_25,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_26,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_27,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_28,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_29,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_30,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_31,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_32,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_33,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_34,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_35,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_36,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_37,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_38,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_39,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_40,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_41,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_42,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_43,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_44,,,,,,,,,,,
2,3,3,Daikon version 5.8.8 output data,,Daikon_5_8_8_OUT,,Daikon version 5.8.8 invariant detection,LIKELY_INVARIANT_SPEC_45,,,,,,,,,,,
